,cluster
SAMD00114722,4
SAMD00114723,2
SAMD00114724,3
SAMD00114726,2
SAMD00114727,2
SAMD00114728,3
SAMD00114731,3
SAMD00114733,3
SAMD00114738,4
SAMD00114739,3
SAMD00114750,1
SAMD00114753,1
SAMD00114755,2
SAMD00114760,1
SAMD00114761,3
SAMD00114765,3
SAMD00114766,2
SAMD00114767,1
SAMD00114772,1
SAMD00114776,4
SAMD00114777,4
SAMD00114782,2
SAMD00114793,3
SAMD00114794,3
SAMD00114804,2
SAMD00114806,2
SAMD00114811,2
SAMD00114813,1
SAMD00114816,2
SAMD00114817,3
SAMD00114822,2
SAMD00114823,1
SAMD00114825,4
SAMD00114826,2
SAMD00114835,1
SAMD00114836,3
SAMD00114840,2
SAMD00114841,1
SAMD00114844,1
SAMD00114848,4
SAMD00114856,2
SAMD00114857,4
SAMD00114863,3
SAMD00114878,3
SAMD00114879,3
SAMD00114883,3
SAMD00114884,2
SAMD00114891,3
SAMD00114893,2
SAMD00114894,1
SAMD00114896,2
SAMD00114897,3
SAMD00114903,2
SAMD00114905,1
SAMD00114907,1
SAMD00114910,2
SAMD00114911,2
SAMD00114912,2
SAMD00114915,3
SAMD00114917,4
SAMD00114920,1
SAMD00114921,2
SAMD00114924,2
SAMD00114927,2
SAMD00114931,1
SAMD00114933,1
SAMD00114934,3
SAMD00114935,2
SAMD00114944,4
SAMD00114946,4
SAMD00114948,2
SAMD00114949,2
SAMD00114952,2
SAMD00114954,2
SAMD00114964,2
SAMD00114965,2
SAMD00114966,4
SAMD00115000,3
SAMD00115011,1
SAMD00115013,3
SAMD00115014,3
SAMD00115026,3
SAMD00115031,1
SAMD00115034,4
SAMD00115035,2
SAMD00154993,3
SAMD00154994,3
SAMD00154995,2
SAMD00164721,2
SAMD00164776,3
SAMD00164812,3
SAMD00164821,2
SAMD00164829,2
SAMD00164847,2
SAMD00164850,2
SAMD00164859,2
SAMD00164860,2
SAMD00164861,2
SAMD00164867,2
SAMD00164868,2
